"Date","Price","Open","High","Low","Vol.","Change %"
"05/13/1992","1,840.90","1,840.90","1,840.90","1,840.90","226.65M","-0.18%"
"05/12/1992","1,844.17","1,844.17","1,844.17","1,844.17","77.63M","-0.06%"
"05/11/1992","1,845.30","1,845.30","1,845.30","1,845.30","55.93M","-0.13%"
"05/08/1992","1,847.64","1,847.64","1,847.64","1,847.64","83.58M","-0.26%"
"05/07/1992","1,852.48","1,852.48","1,852.48","1,852.48","89.85M","-1.05%"
"05/06/1992","1,872.12","1,872.12","1,872.12","1,872.12","93.22M","2.43%"
"05/04/1992","1,827.62","1,827.62","1,827.62","1,827.62","20.39M","-0.58%"
"04/30/1992","1,838.30","1,838.30","1,838.30","1,838.30","45.06M","-0.79%"
"04/29/1992","1,852.87","1,852.87","1,852.87","1,852.87","48.51M","1.16%"
"04/28/1992","1,831.59","1,831.59","1,831.59","1,831.59","47.23M","-1.68%"
"04/27/1992","1,862.97","1,862.97","1,862.97","1,862.97","37.00M","-1.06%"
"04/24/1992","1,882.86","1,882.86","1,882.86","1,882.86","71.86M","-0.46%"
"04/23/1992","1,891.65","1,891.65","1,891.65","1,891.65","94.75M","-0.29%"
"04/22/1992","1,897.08","1,897.08","1,897.08","1,897.08","85.32M","1.46%"
"04/21/1992","1,869.72","1,869.72","1,869.72","1,869.72","66.75M","1.06%"
"04/20/1992","1,850.13","1,850.13","1,850.13","1,850.13","51.58M","-1.15%"
"04/15/1992","1,871.64","1,871.64","1,871.64","1,871.64","30.54M","1.82%"
"04/14/1992","1,838.27","1,838.27","1,838.27","1,838.27","44.02M","1.55%"
"04/13/1992","1,810.17","1,810.17","1,810.17","1,810.17","20.82M","-0.02%"
"04/10/1992","1,810.54","1,810.54","1,810.54","1,810.54","114.48M","2.96%"
"04/09/1992","1,758.56","1,758.56","1,758.56","1,758.56","114.30M","0.85%"
"04/08/1992","1,743.69","1,743.69","1,743.69","1,743.69","134.30M","0.15%"
"04/07/1992","1,741.00","1,741.00","1,741.00","1,741.00","92.10M","-2.43%"
"04/06/1992","1,784.32","1,784.32","1,784.32","1,784.32","44.64M","-2.08%"
"04/03/1992","1,822.27","1,822.27","1,822.27","1,822.27","58.31M","-1.10%"
"04/02/1992","1,842.48","1,842.48","1,842.48","1,842.48","112.81M","-0.54%"
"04/01/1992","1,852.57","1,852.57","1,852.57","1,852.57","122.26M","-1.23%"
"03/31/1992","1,875.73","1,875.73","1,875.73","1,875.73","171.51M","0.37%"
"03/30/1992","1,868.78","1,868.78","1,868.78","1,868.78","69.39M","-0.68%"
"03/27/1992","1,881.58","1,881.58","1,881.58","1,881.58","93.64M","-1.35%"
"03/26/1992","1,907.29","1,907.29","1,907.29","1,907.29","64.65M","0.35%"
"03/25/1992","1,900.62","1,900.62","1,900.62","1,900.62","72.31M","1.09%"
"03/24/1992","1,880.13","1,880.13","1,880.13","1,880.13","98.70M","-0.44%"
"03/23/1992","1,888.37","1,888.37","1,888.37","1,888.37","86.26M","2.69%"
"03/20/1992","1,838.94","1,838.94","1,838.94","1,838.94","109.71M","2.42%"
"03/19/1992","1,795.56","1,795.56","1,795.56","1,795.56","88.33M","1.44%"
"03/18/1992","1,770.09","1,770.09","1,770.09","1,770.09","60.04M","0.12%"
"03/17/1992","1,767.93","1,767.93","1,767.93","1,767.93","301.65M","1.91%"
"03/16/1992","1,734.81","1,734.81","1,734.81","1,734.81","63.52M","-1.32%"
"03/13/1992","1,757.98","1,757.98","1,757.98","1,757.98","108.60M","-0.26%"
"03/12/1992","1,762.59","1,762.59","1,762.59","1,762.59","1.07B","-1.89%"
"03/11/1992","1,796.61","1,796.61","1,796.61","1,796.61","82.64M","-0.69%"
"03/10/1992","1,809.17","1,809.17","1,809.17","1,809.17","53.16M","1.37%"
"03/09/1992","1,784.76","1,784.76","1,784.76","1,784.76","48.37M","-0.45%"
"03/06/1992","1,792.85","1,792.85","1,792.85","1,792.85","71.71M","-3.67%"
"03/05/1992","1,861.10","1,861.10","1,861.10","1,861.10","120.99M","1.33%"
"03/04/1992","1,836.63","1,836.63","1,836.63","1,836.63","146.43M","-3.59%"
"03/03/1992","1,905.03","1,905.03","1,905.03","1,905.03","122.77M","1.66%"
"03/02/1992","1,873.87","1,873.87","1,873.87","1,873.87","73.25M","0.71%"
"02/28/1992","1,860.63","1,860.63","1,860.63","1,860.63","107.47M","1.22%"
"02/27/1992","1,838.19","1,838.19","1,838.19","1,838.19","70.48M","0.69%"
"02/26/1992","1,825.53","1,825.53","1,825.53","1,825.53","107.84M","2.72%"
"02/25/1992","1,777.11","1,777.11","1,777.11","1,777.11","81.00M","-0.20%"
